tracking_id,order_id,item_id,timestamp,status,location
1,1,1,2025-05-30 00:00:00,order_placed,
2,1,1,2025-05-30 13:00:00,payment_confirmed,
3,1,1,2025-05-31 03:00:00,preparing,
4,1,1,2025-05-31 21:00:00,ready_for_pickup,
5,1,1,2025-06-01 19:00:00,shipped,Bogotá D.C.
6,1,1,2025-06-02 07:00:00,in_transit,Bogotá D.C.
7,1,1,2025-06-03 02:00:00,out_for_delivery,
8,1,1,2025-06-03 21:00:00,delivered,Dirección de Entrega
9,2,6,2025-05-26 00:00:00,order_placed,
10,2,6,2025-05-26 20:00:00,payment_confirmed,
11,2,6,2025-05-27 05:00:00,cancelled,
12,3,9,2025-12-15 00:00:00,order_placed,
13,3,9,2025-12-15 19:00:00,payment_confirmed,
14,3,9,2025-12-16 09:00:00,preparing,
15,3,9,2025-12-17 08:00:00,ready_for_pickup,
16,3,9,2025-12-17 19:00:00,shipped,Barranquilla
17,3,9,2025-12-18 09:00:00,in_transit,Barranquilla
18,3,9,2025-12-18 17:00:00,out_for_delivery,
19,3,9,2025-12-19 04:00:00,delivered,Dirección de Entrega
20,4,10,2025-05-27 00:00:00,order_placed,
21,4,10,2025-05-27 15:00:00,payment_confirmed,
22,4,10,2025-05-28 08:00:00,cancelled,
23,5,13,2025-11-23 00:00:00,order_placed,
24,5,13,2025-11-23 10:00:00,payment_confirmed,
25,5,13,2025-11-24 09:00:00,preparing,
26,5,13,2025-11-25 07:00:00,ready_for_pickup,
27,5,13,2025-11-25 20:00:00,shipped,Medellín
28,5,13,2025-11-25 22:00:00,in_transit,Cali
29,5,13,2025-11-26 21:00:00,out_for_delivery,
30,5,13,2025-11-27 17:00:00,delivered,Dirección de Entrega
31,6,16,2025-11-16 00:00:00,order_placed,
32,6,16,2025-11-16 14:00:00,payment_confirmed,
33,6,16,2025-11-16 18:00:00,cancelled,
34,7,17,2025-06-20 00:00:00,order_placed,
35,7,17,2025-06-20 04:00:00,payment_confirmed,
36,7,17,2025-06-20 23:00:00,preparing,
37,7,17,2025-06-21 13:00:00,ready_for_pickup,
38,7,17,2025-06-21 16:00:00,shipped,Medellín
39,7,17,2025-06-22 14:00:00,in_transit,Medellín
40,7,17,2025-06-22 17:00:00,out_for_delivery,
41,7,17,2025-06-23 15:00:00,delivered,Dirección de Entrega
42,8,20,2025-11-27 00:00:00,order_placed,
43,8,20,2025-11-27 17:00:00,payment_confirmed,
44,8,20,2025-11-28 08:00:00,preparing,
45,8,20,2025-11-28 19:00:00,ready_for_pickup,
46,8,20,2025-11-29 11:00:00,shipped,Medellín
47,8,20,2025-11-29 23:00:00,in_transit,Barranquilla
48,8,20,2025-11-30 15:00:00,out_for_delivery,
49,8,20,2025-11-30 20:00:00,delivered,Dirección de Entrega
50,9,22,2025-11-17 00:00:00,order_placed,
51,9,22,2025-11-17 23:00:00,payment_confirmed,
52,9,22,2025-11-18 18:00:00,preparing,
53,9,22,2025-11-19 00:00:00,ready_for_pickup,
54,9,22,2025-11-19 05:00:00,shipped,Cali
55,9,22,2025-11-19 10:00:00,in_transit,Barranquilla
56,9,22,2025-11-19 17:00:00,out_for_delivery,
57,9,22,2025-11-19 22:00:00,delivered,Dirección de Entrega
58,10,25,2025-09-27 00:00:00,order_placed,
59,10,25,2025-09-27 12:00:00,payment_confirmed,
60,10,25,2025-09-28 04:00:00,preparing,
61,10,25,2025-09-29 01:00:00,ready_for_pickup,
62,10,25,2025-09-29 23:00:00,shipped,Bogotá D.C.
63,10,25,2025-09-30 13:00:00,in_transit,Cali
64,10,25,2025-10-01 10:00:00,out_for_delivery,
65,10,25,2025-10-01 18:00:00,delivered,Dirección de Entrega
66,11,28,2025-09-10 00:00:00,order_placed,
67,11,28,2025-09-10 21:00:00,payment_confirmed,
68,11,28,2025-09-11 02:00:00,preparing,
69,11,28,2025-09-11 07:00:00,ready_for_pickup,
70,11,28,2025-09-11 10:00:00,shipped,Medellín
71,11,28,2025-09-12 04:00:00,in_transit,Cali
72,11,28,2025-09-13 01:00:00,out_for_delivery,
73,11,28,2025-09-13 23:00:00,delivered,Dirección de Entrega
74,12,32,2025-11-04 00:00:00,order_placed,
75,12,32,2025-11-04 15:00:00,payment_confirmed,
76,12,32,2025-11-05 01:00:00,preparing,
77,12,32,2025-11-05 13:00:00,ready_for_pickup,
78,12,32,2025-11-05 19:00:00,shipped,Bogotá D.C.
79,12,32,2025-11-06 02:00:00,in_transit,Bogotá D.C.
80,12,32,2025-11-07 00:00:00,out_for_delivery,
81,12,32,2025-11-07 18:00:00,delivered,Dirección de Entrega
82,13,34,2025-05-21 00:00:00,order_placed,
83,13,34,2025-05-21 08:00:00,payment_confirmed,
84,13,34,2025-05-21 21:00:00,cancelled,
85,14,36,2025-07-10 00:00:00,order_placed,
86,14,36,2025-07-10 02:00:00,payment_confirmed,
87,14,36,2025-07-10 21:00:00,preparing,
88,14,36,2025-07-11 05:00:00,ready_for_pickup,
89,14,36,2025-07-12 05:00:00,shipped,Cali
90,14,36,2025-07-13 01:00:00,in_transit,Bogotá D.C.
91,14,36,2025-07-13 15:00:00,out_for_delivery,
92,14,36,2025-07-14 05:00:00,delivered,Dirección de Entrega
93,15,40,2025-03-03 00:00:00,order_placed,
94,15,40,2025-03-03 22:00:00,payment_confirmed,
95,15,40,2025-03-04 15:00:00,preparing,
96,15,40,2025-03-05 06:00:00,ready_for_pickup,
